winner,loser,white_pieces,black_pieces,moves
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b2b3, e7e5, b1a3, d7d5, b3b4, f8b4, c2c4, g8f6, d1b3, b8c6, f2f3, e8g8, f3f4, e5f4, h2h3, c8e6, b3c3, b4c3, c4d5, f6d5, a3b5, d8h4, g2g3, h4g3, e1d1, d5e3, d2e3, g3e1, d1c2, c6b4, c2b1, e6f5, e3e4, f5e4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d4, d7d5, h2h3, g8f6, c1f4, c7c5, g2g3, b8c6, b1c3, c5d4, d1d4, c6d4, c3d5, d4c2, e1d1, d8d5, d1c2, c8f5, c2c1, a8c8, f4c7, c8c7"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1c3, d7d5, d2d4, g8f6, c3a4, b8d7, a4c5, d7c5, e2e3, c5d7, a2a3, e7e5, d1d3, f8d6, g1f3, e5e4, h1g1, e4d3, f3e5, d3c2, e3e4, d6e5, f2f3, e5d4, b2b4, d4g1, h2h4, f6e4, g2g4, d8h4, e1e2, h4f2, e2d3, d7e5"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g1h3, d7d5, f2f3, c8h3, g2g4, e7e6, d2d3, h3f1, f3f4, f1h3, a2a3, h3g4, b1c3, d5d4, c3a2, g4h5, c2c4, b8d7, b2b3, c7c6, e1f2, d7f6, h1f1, a8c8, a2b4, g8h6, b4a6, f6g4, f2e1, b7a6, f1f3, d8h4, f3g3, g4h2, a1b1, h4g3, e1d2, g3f2, d1e1, h2f3, d2c2, f3e1, c2d2, f2e2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1a3, e7e5, h2h3, b8c6, g1f3, e5e4, a1b1, e4f3, h1h2, f3e2, e1e2, d8e7, e2d3, e7d6, d3c4, d6d4, c4b5, a7a6"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b2b3, e7e5, g1h3, d7d5, h3g5, d8g5, h2h4, g5d8, c2c3, g8f6, c1b2, b8c6, g2g3, f8d6, c3c4, d5d4, d2d3, a7a5, e1d2, f6g4, b1c3, d4c3, d2c2, c6d4, c2c1, c3b2, c1d2, d6b4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g1h3, e7e5, h3f4, e5f4, a2a4, d7d5, b1a3, c7c6, f2f3, d8h4, g2g3, f4g3, c2c4, g3g2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, d7d5, c1d2, e7e5, d2b4, f8b4, c2c3, b4d6, a2a4, g8f6, b2b3, d5d4, b3b4, d4c3, h2h4, d6b4, g2g3, c3c2, d1d2, c2c1r"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f4, d7d5, e2e3, c8f5, d2d4, e7e6, b1c3, c7c5, a2a4, b8c6, f1d3, c5d4, d3f5, d4c3, f5h3, f8b4, e3e4, c3b2, d1d2, b2a1q, e4d5, a1c1, e1f2, c1d2, g1e2, d8h4, f2f1, h4e1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g4, d7d5, e2e4, d5e4, g1h3, b8c6, d2d4, d8d4, g4g5, d4d1, e1d1, c8g4, f2f3, g4f3, d1d2, e8c8, d2e3, e7e6, c1d2, f8c5, e3f4, g8e7, f1b5, e6e5, f4g3, e7f5"
